epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.819,1.25001,9.54751,0.49334,1.01543,1.50892,0.42518,0.36565,0.30985,0.1174,0.00971,0.00231,0.00027,3e-05,2.65231,10.4634,0.08241,2.57585,2.98622,0.0700262,0.00333042,0.00333042
2,313.394,1.1506,8.38826,0.39366,0.90787,1.42814,0.81714,0.77766,0.85801,0.58877,0.50651,0.25256,0.16999,0.03527,1.23907,7.28777,0.19008,0.90959,1.55325,0.0400246,0.00666212,0.00666212
3,461.998,1.0696,7.46133,0.35803,0.80415,1.35637,0.90166,0.79966,0.91039,0.68657,0.59657,0.36885,0.27694,0.09511,1.02302,6.13099,0.15337,0.77421,1.37075,0.0100165,0.00998732,0.00998732
4,608.485,1.00075,6.71236,0.33715,0.73925,1.30999,0.91541,0.88486,0.95336,0.71663,0.7818,0.49821,0.48041,0.19873,1.0008,5.20547,0.14301,0.63007,1.30855,0.00997803,0.00997803,0.00997803
5,754.627,0.94835,6.23292,0.32153,0.68527,1.26845,0.93223,0.9355,0.97246,0.77525,0.78178,0.50051,0.47651,0.2285,0.85425,4.87049,0.05822,0.54901,1.213,0.00996097,0.00996097,0.00996097
6,900.207,0.91622,5.88568,0.30524,0.65383,1.24496,0.89599,0.86744,0.93897,0.7175,0.79411,0.5543,0.55926,0.28054,0.97872,4.5996,0.13675,0.6687,1.36456,0.00993906,0.00993906,0.00993906
7,1024.07,0.89869,5.66765,0.29579,0.62676,1.23284,0.92605,0.94237,0.97622,0.80165,0.81731,0.59311,0.61204,0.34705,0.78307,4.09645,0.0732,0.48183,1.15289,0.00991232,0.00991232,0.00991232
8,1153.3,0.87369,5.4508,0.29012,0.60813,1.21518,0.95126,0.93729,0.98191,0.7975,0.81247,0.58799,0.59655,0.32921,0.79738,4.07059,0.09898,0.47342,1.15905,0.00988079,0.00988079,0.00988079
9,1289.39,0.85857,5.3029,0.28137,0.59161,1.20646,0.95768,0.94776,0.98325,0.82011,0.82712,0.63243,0.67527,0.42255,0.76856,3.69954,0.06298,0.44579,1.1419,0.00984449,0.00984449,0.00984449
10,1433.74,0.84966,5.15642,0.27825,0.58347,1.19994,0.95225,0.95534,0.98262,0.82012,0.80828,0.65875,0.67525,0.41325,0.7435,3.66996,0.06265,0.44043,1.12414,0.00980345,0.00980345,0.00980345
11,1587.26,0.83496,5.04032,0.27023,0.56851,1.19,0.95604,0.95902,0.98589,0.8324,0.80956,0.66858,0.69294,0.42337,0.71476,3.5138,0.06768,0.41264,1.1035,0.00975773,0.00975773,0.00975773
12,1727.36,0.82304,4.92745,0.26673,0.55106,1.18182,0.95852,0.95812,0.98506,0.8357,0.82067,0.67635,0.69458,0.43718,0.69939,3.4655,0.07116,0.40215,1.09008,0.00970736,0.00970736,0.00970736
13,1862.34,0.8231,4.87209,0.26225,0.5495,1.18268,0.95748,0.9604,0.98642,0.83703,0.82884,0.67417,0.70746,0.45066,0.70316,3.37312,0.0629,0.39541,1.09487,0.00965239,0.00965239,0.00965239
14,2004.81,0.80573,4.75623,0.25558,0.53364,1.16943,0.96156,0.95462,0.98511,0.84622,0.82358,0.69928,0.723,0.46064,0.69073,3.3285,0.07299,0.39185,1.08378,0.00959289,0.00959289,0.00959289
15,2144.99,0.80001,4.6854,0.25374,0.53115,1.16985,0.96066,0.96363,0.98843,0.85014,0.82176,0.71035,0.73301,0.48026,0.68197,3.22879,0.05856,0.37528,1.06941,0.00952889,0.00952889,0.00952889
16,2281.3,0.79191,4.61725,0.25068,0.52136,1.16072,0.95884,0.96358,0.98804,0.84825,0.83534,0.7126,0.73395,0.48064,0.67196,3.15746,0.05287,0.3741,1.06059,0.00946048,0.00946048,0.00946048
17,2396.48,0.78917,4.60799,0.24923,0.52155,1.15883,0.96385,0.96304,0.98691,0.85219,0.82454,0.71499,0.74702,0.4986,0.67479,3.14907,0.05673,0.37546,1.06512,0.00938772,0.00938772,0.00938772
18,2515.27,0.78683,4.55218,0.24779,0.51717,1.15664,0.96376,0.96555,0.98771,0.86147,0.83722,0.73271,0.76017,0.50823,0.65421,3.09434,0.05742,0.35946,1.04596,0.00931067,0.00931067,0.00931067
19,2647.13,0.77714,4.4411,0.24267,0.50793,1.15237,0.96875,0.9667,0.98878,0.86066,0.8384,0.72694,0.74986,0.50648,0.64093,3.02764,0.05289,0.3525,1.04556,0.00922942,0.00922942,0.00922942
20,2776.78,0.76978,4.41043,0.2433,0.50786,1.14907,0.96019,0.96734,0.98836,0.86235,0.82026,0.74232,0.7482,0.50271,0.635,2.99185,0.05458,0.35812,1.03408,0.00914405,0.00914405,0.00914405
21,2915.34,0.76386,4.33408,0.23847,0.49419,1.14727,0.9645,0.96926,0.98923,0.86527,0.82663,0.74027,0.75689,0.51061,0.64236,2.98642,0.0531,0.34795,1.03808,0.00905463,0.00905463,0.00905463
22,3059.81,0.76252,4.29683,0.2387,0.49809,1.14428,0.9662,0.96849,0.98888,0.87009,0.83241,0.74364,0.76057,0.52172,0.62036,2.95108,0.04941,0.34376,1.02611,0.00896127,0.00896127,0.00896127
23,3195.88,0.75273,4.26577,0.23627,0.48588,1.13977,0.96334,0.96913,0.98907,0.87532,0.84304,0.75474,0.78167,0.54396,0.61166,2.8901,0.04805,0.33253,1.02136,0.00886404,0.00886404,0.00886404
24,3331.92,0.75225,4.20766,0.23268,0.48734,1.13725,0.96571,0.96677,0.98881,0.87283,0.84442,0.73604,0.76716,0.53654,0.61106,2.82756,0.04951,0.33744,1.02025,0.00876305,0.00876305,0.00876305
25,3469.81,0.74337,4.16297,0.23449,0.47985,1.13485,0.96738,0.96773,0.98875,0.87468,0.84329,0.75615,0.77933,0.55942,0.60823,2.71835,0.04824,0.33261,1.01739,0.00865839,0.00865839,0.00865839
26,3606.46,0.74215,4.08222,0.23007,0.47678,1.13266,0.96154,0.9733,0.98922,0.87251,0.84097,0.75832,0.78072,0.55929,0.60614,2.67884,0.04757,0.32542,1.01368,0.00855018,0.00855018,0.00855018
27,3744.8,0.73674,4.05261,0.22769,0.47055,1.12977,0.96634,0.97083,0.98998,0.87649,0.8468,0.76998,0.78935,0.5681,0.59909,2.6419,0.04657,0.32206,1.01035,0.00843851,0.00843851,0.00843851
28,3882.98,0.7328,3.99567,0.22626,0.47231,1.12612,0.96597,0.97062,0.98937,0.87945,0.83936,0.76691,0.79076,0.57818,0.59039,2.59181,0.04494,0.32292,1.00735,0.00832349,0.00832349,0.00832349
29,4019.83,0.73227,3.92569,0.22748,0.4709,1.12649,0.96696,0.97144,0.98972,0.88108,0.84659,0.77228,0.79797,0.61,0.5911,2.39146,0.04628,0.32017,1.00869,0.00820525,0.00820525,0.00820525
30,4157.85,0.728,3.86761,0.22583,0.46741,1.12489,0.96508,0.97503,0.99006,0.88082,0.84809,0.77395,0.79487,0.61432,0.59094,2.36609,0.04403,0.31834,1.00744,0.00808389,0.00808389,0.00808389
31,4295.21,0.72437,3.83434,0.22436,0.46211,1.12047,0.96835,0.97184,0.9903,0.88405,0.84975,0.77702,0.7993,0.62108,0.58836,2.3474,0.04462,0.31433,1.0023,0.00795954,0.00795954,0.00795954
32,4433.28,0.71969,3.74672,0.22228,0.45939,1.12179,0.96526,0.97221,0.9901,0.88345,0.85101,0.77894,0.80065,0.62608,0.58612,2.32686,0.04357,0.31019,1.00204,0.00783231,0.00783231,0.00783231
33,4570.51,0.7191,3.72417,0.22102,0.45649,1.11729,0.96905,0.97195,0.99023,0.884,0.85224,0.77587,0.80717,0.63521,0.58478,2.29537,0.04369,0.3097,1.00185,0.00770234,0.00770234,0.00770234
34,4707.22,0.71216,3.6502,0.21807,0.45267,1.11587,0.9689,0.97426,0.99023,0.88606,0.85162,0.78065,0.8078,0.6373,0.57834,2.26956,0.04376,0.30565,0.99623,0.00756976,0.00756976,0.00756976
35,4846.43,0.70982,3.58999,0.21813,0.44783,1.11334,0.97085,0.9717,0.99062,0.88712,0.84807,0.79068,0.81186,0.64241,0.57591,2.24736,0.04315,0.30379,0.99447,0.00743468,0.00743468,0.00743468
36,4984.13,0.70068,3.54742,0.21639,0.44449,1.10972,0.97058,0.97054,0.99052,0.88667,0.84523,0.79523,0.81196,0.64155,0.5737,2.24424,0.04359,0.30251,0.994,0.00729725,0.00729725,0.00729725
37,5123.4,0.69841,3.51527,0.21681,0.44103,1.10895,0.96888,0.97291,0.99055,0.88802,0.86111,0.78453,0.81572,0.64336,0.57085,2.22429,0.04403,0.29947,0.9916,0.00715761,0.00715761,0.00715761
38,5262.86,0.69728,3.50134,0.21355,0.44182,1.10883,0.97182,0.97285,0.99082,0.88981,0.85536,0.79124,0.81899,0.65019,0.56672,2.20917,0.0436,0.29716,0.98809,0.00701588,0.00701588,0.00701588
39,5400.58,0.6968,3.46523,0.21301,0.44166,1.1073,0.9714,0.97195,0.99065,0.89051,0.85653,0.79867,0.82297,0.65448,0.56596,2.18027,0.0428,0.29634,0.98679,0.00687222,0.00687222,0.00687222
40,5538.14,0.69633,3.4488,0.21184,0.4399,1.10651,0.97283,0.97218,0.99058,0.89194,0.85121,0.80013,0.82224,0.65524,0.56242,2.18094,0.04232,0.29536,0.98587,0.00672675,0.00672675,0.00672675
